id_estudiante,id_periodo,porcentaje_asistencia_periodo,tardanzas,retiros_tempranos
1,1,84,8,3
1,2,74,5,5
1,3,92,5,2
1,4,94,6,3
2,1,100,9,1
2,2,84,5,1
2,3,90,5,2
2,4,87,4,1
3,1,75,2,3
3,2,100,2,2
3,3,76,4,0
3,4,77,6,1
4,1,99,0,2
4,2,95,4,1
4,3,90,3,0
4,4,92,0,1
5,1,99,3,1
5,2,100,0,1
5,3,95,0,4
5,4,93,2,3
6,1,84,3,0
6,2,87,3,0
6,3,97,6,1
6,4,81,10,2
7,1,78,6,2
7,2,100,6,1
7,3,80,2,3
7,4,76,0,2
8,1,75,1,0
8,2,84,2,1
8,3,69,1,4
8,4,65,1,0
9,1,87,2,0
9,2,71,6,2
9,3,95,1,2
9,4,100,1,0
10,1,71,2,1
10,2,79,1,0
10,3,61,0,1
10,4,82,3,0
11,1,88,6,4
11,2,91,8,3
11,3,75,1,1
11,4,90,2,0
12,1,84,0,2
12,2,90,4,0
12,3,80,2,3
12,4,100,3,0
13,1,78,0,2
13,2,100,0,0
13,3,90,3,0
13,4,88,5,0
14,1,69,6,3
14,2,74,6,0
14,3,65,5,0
14,4,63,7,0
15,1,83,1,1
15,2,83,0,1
15,3,94,0,0
15,4,96,2,0
16,1,89,3,0
16,2,84,1,4
16,3,90,7,1
16,4,69,5,4
17,1,79,5,0
17,2,78,9,0
17,3,70,8,3
17,4,70,11,0
18,1,99,4,4
18,2,91,3,0
18,3,64,4,2
18,4,92,0,1
19,1,91,7,2
19,2,81,3,1
19,3,95,5,3
19,4,96,6,2
20,1,72,4,5
20,2,77,5,1
20,3,82,3,0
20,4,67,11,4
21,1,100,4,1
21,2,95,4,0
21,3,91,4,1
21,4,88,4,0
22,1,85,6,2
22,2,85,5,1
22,3,91,5,0
22,4,85,4,0
23,1,69,5,0
23,2,72,7,3
23,3,65,8,3
23,4,100,9,0
24,1,88,8,0
24,2,97,7,2
24,3,91,5,1
24,4,90,5,0
25,1,97,5,0
25,2,94,0,0
25,3,100,4,1
25,4,90,3,0
26,1,70,6,2
26,2,81,8,3
26,3,75,4,2
26,4,72,6,1
27,1,95,0,1
27,2,73,3,3
27,3,86,1,1
27,4,100,3,0
28,1,72,9,3
28,2,75,6,1
28,3,74,7,0
28,4,67,10,0
29,1,75,7,0
29,2,76,5,0
29,3,100,1,2
29,4,93,3,0
30,1,81,5,2
30,2,82,3,1
30,3,89,7,0
30,4,100,8,0
31,1,80,4,2
31,2,96,3,1
31,3,100,5,0
31,4,84,2,0
32,1,90,4,2
32,2,91,3,2
32,3,73,0,3
32,4,80,0,0
33,1,92,1,1
33,2,89,6,1
33,3,70,2,2
33,4,76,5,0
34,1,78,10,0
34,2,87,7,3
34,3,84,5,3
34,4,86,6,0
35,1,83,2,0
35,2,97,1,4
35,3,99,4,1
35,4,94,3,0
36,1,100,4,4
36,2,95,3,2
36,3,75,2,1
36,4,87,1,0
37,1,71,1,3
37,2,80,3,0
37,3,88,3,0
37,4,86,0,2
38,1,93,5,0
38,2,100,0,4
38,3,90,1,1
38,4,100,3,3
39,1,87,5,3
39,2,74,6,4
39,3,78,2,0
39,4,71,2,3
